"Carimbo de data/hora","Qual é a sua faixa etária?","Você é cadastrado no aplicativo do Ipiranga?","Você utilizar o aplicativo do Ipiranga?","O quanto você usa e acessa o aplicativo e o clube de vantagens?","Dentre os benefícios oferecidos, qual ou quais você gosta ou se identifica?","Você utiliza os resgates? Sim, quando e quantos pontos em média?","O que você acha que podemos melhorar em sua percepção em relação ao clube de vantagens ?","Agradecemos novamente por dedicar seu tempo a responder a esta pesquisa. Seus comentários e opiniões são inestimáveis para melhorarmos nossos serviços. Caso tenha algum comentário adicional, sinta-se à vontade para compartilhá-lo no espaço abaixo."
"2023/05/09 2:15:41 PM GMT-3","18 - 25 anos","Sim","Uso semanlmente","Semanalmente","Facilidade de pagamento","50","O aplicativo é muito bom no geral, não tenho críticas só elogios",""
"2023/05/09 2:25:42 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:27:08 PM GMT-3","26 - 35 anos","Sim","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:27:31 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:27:51 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","","","",""
"2023/05/09 2:28:07 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Qualidade dos produtos oferecidos","Não","",""
"2023/05/09 2:30:06 PM GMT-3","18 - 25 anos","considero cadastra algum dia","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:31:29 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:35:55 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:36:47 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Facilidade de pagamento","","",""
"2023/05/09 2:36:55 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 2:54:36 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 4:26:29 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Qualidade dos produtos oferecidos","Não ","",""
"2023/05/09 4:38:35 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso ","Melhorar a divulgação ","Melhorar a agilidade no atendimento "
"2023/05/09 4:39:19 PM GMT-3","36 - 45 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 4:43:05 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","","",""
"2023/05/09 4:48:16 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 4:54:25 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não ","Desconto ",""
"2023/05/09 4:58:09 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","","","Muito bom! Parabéns pela iniciativa. Para contribuir na redação do formulário, informo que na 3ª pergunta, o correto é escrever: ""Você UTILIZA o aplicativo do Ipiranga? 
Na mesma pergunta a palavra semanalmente está escrita errada. "
"2023/05/09 5:00:38 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","Não ","Não sei","Sucesso "
"2023/05/09 5:04:36 PM GMT-3","Mais de 55 anos","Não","Nunca Utilizei","não uso","","","",""
"2023/05/09 5:05:46 PM GMT-3","18 - 25 anos","Sim","Uso ocasionalmente","Ocasionalmente","Qualidade dos produtos oferecidos","Não cheguei a usar ainda","",""
"2023/05/09 5:07:34 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 5:28:30 PM GMT-3","Mais de 55 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não ","Não tenho o clube de vantagem. Portanto não posso opinar.",""
"2023/05/09 5:51:52 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","Nao","Nao sei informar",""
"2023/05/09 6:53:19 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","","","","O aplicativo fica muito tempo fora do ar"
"2023/05/09 8:13:22 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","","",""
"2023/05/09 10:25:32 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Ok","",""
"2023/05/11 2:29:14 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","não uso o aplicativo não sabia de sua existencia","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar ","vou dar uma olhada no seu app"