"Carimbo de data/hora","Qual é a sua faixa etária?","você e cadastrado no aplicativo ?","Você utilizar o aplicativo do Ipiranga ?","O quanto você usa e acessa o aplicativo e o clube de vantagens?","Dentre os benefícios oferecidos, qual ou quais você gosta ou se identifica?","Você utiliza os resgates? Sim, quando e quantos pontos em média?","O que você acha que podemos melhorar em sua percepção em relação ao clube de vantagens ? ","Agradecemos novamente por dedicar seu tempo a responder a esta pesquisa. Seus comentários e opiniões são inestimáveis para melhorarmos nossos serviços. Caso tenha algum comentário adicional, sinta-se à vontade para compartilhá-lo no espaço abaixo. "
"2023/05/16 3:36:25 PM GMT-3","18 - 25 anos","Sim","Uso semanlmente","Semanalmente","Facilidade de pagamento","muitos","O aplicativo é muito bom no geral, não tenho críticas só elogios",""
"2023/05/16 3:38:28 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:38:56 PM GMT-3","26 - 35 anos","Sim","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:39:23 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:39:59 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:40:54 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Qualidade dos produtos oferecidos","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:41:36 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:42:26 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:43:23 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:44:11 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Facilidade de pagamento","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:44:50 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:46:34 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:47:07 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Qualidade dos produtos oferecidos","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:47:41 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:48:56 PM GMT-3","36-45 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:50:19 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:50:56 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:52:28 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:54:18 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:56:42 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:57:08 PM GMT-3","Mais de 55 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:57:55 PM GMT-3","18 - 25 anos","Sim","Uso ocasionalmente","Ocasionalmente","Qualidade dos produtos oferecidos","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:58:22 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:58:57 PM GMT-3","Mais de 55 anos","Não","Nunca Utilizei","não uso","Descontos e vantagens exclusivas","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:59:21 PM GMT-3","46-55 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 3:59:46 PM GMT-3","26 - 35 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 4:00:22 PM GMT-3","18 - 25 anos","Não","Uso semanlmente","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 4:00:52 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""
"2023/05/16 4:02:10 PM GMT-3","18 - 25 anos","Não","Nunca Utilizei","não uso","Outros","Não uso","não uso o aplicativo não sabia de sua existencia, acredito que sempre da para melhorar",""